cas,smiles
311-28-4,[I-].CCCC[N+](CCCC)(CCCC)CCCC
313-72-4,FC=1C(F)=C(F)C=2C(F)=C(F)C(F)=C(F)C2C1F
321-21-1,CC1=C(C=CC(=C1)F)C(=O)O
321-38-0,FC1=CC=CC=2C=CC=CC12
327-54-8,FC=1C=C(F)C(F)=CC1F
328-74-5,FC(F)(F)C1=CC(N)=CC(=C1)C(F)(F)F
333-20-0,C(#N)[S-].[K+]
333-27-7,O=S(=O)(OC)C(F)(F)F
341-41-3,FC1=CC=C(Br)C=2C=CC=CC12
344-04-7,FC=1C(F)=C(F)C(Br)=C(F)C1F
344-07-0,FC=1C(F)=C(F)C(Cl)=C(F)C1F
347-54-6,C1=CC(=C(C=C1F)C=O)O
348-36-7,O=C(OCC)C1=CC=2C=C(F)C=CC2N1
348-57-2,FC1=CC=C(Br)C(F)=C1
